"gbifID","decimalLatitude","locality","decimalLongitude","eventDate","verbatimScientificName"
865776610,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Podiceps auritus"
865775177,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Phalacrocorax pelagicus"
865775176,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Phalacrocorax auritus"
865769264,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Melanitta sp."
865769263,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Melanitta fusca"
865769195,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Mergus serrator"
865769194,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Melanitta perspicillata"
865765929,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Larus canus"
865765928,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Larus glaucescens"
865765927,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Larinae sp."
865761429,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Gavia pacifica"
865761386,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Gavia immer"
865759800,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Bucephala clangula"
865759799,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Bucephala albeola"
865758201,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Anas platyrhynchos"
865758163,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Aythya marila"
865758146,49.26314,"Entrance Rocks to Blunden Pt.",-124.09996,2002,"Ardea herodias"
865758118,49.26436,"Nanoose Estuary",-124.18269,2003,"Anas crecca"
29925885,49.98027,"Zeballos Bay/Inlet",-126.85038,2000,"Tringa melanoleuca"
29925883,48.41886,"Saxe Point to Macaulay Point",-123.42106,2003,"Uria aalge"
29925882,48.41886,"Saxe Point to Macaulay Point",-123.42106,2002,"Tringa macularia"
29925880,48.41886,"Saxe Point to Macaulay Point",-123.42106,2002,"Tringa melanoleuca"
